yy	mm	dd	i	d	PCR
2020	1	15	1	0	
2020	1	24	2	0	
2020	1	25	3	0	
2020	1	26	4	0	
2020	1	28	7	0	
2020	1	29	8	0	
2020	1	30	12	0	
2020	1	31	13	0	
2020	2	 1	16	0	
2020	2	 4	19	0	
2020	2	 5	21	0	
2020	2	11	25	0	
2020	2	13	30	1	
2020	2	14	37	1	
2020	2	15	43	1	
2020	2	16	49	1	
2020	2	17	59	1	1251
2020	2	18	66	1	1287
2020	2	19	73	1	1296
2020	2	20	84	1	1432
2020	2	21	93	1	1522
2020	2	22	105	1	1607
2020	2	23	132	1	1703
2020	2	24	144	1	1742
2020	2	25	156	1	1846
2020	2	26	164	1	1890
2020	2	27	186	3	2058
2020	2	28	210	4	2209
2020	2	29	230	5	2339
2020	3	 1	239	5	2517
2020	3	 2	254	6	2613
2020	3	 3	268	6	2684
2020	3	 4	284	6	6519
2020	3	 5	317	6	6777
2020	3	 6	348	6	7436
2020	3	 7	407	6	8029
2020	3	 8	454	6	8176
2020	3	 9	487	7	8286
2020	3	10	513	9	9600
2020	3	11	567	12	10024
2020	3	12	619	15	10205
2020	3	13	674	19	12060
